,interaction,reward,relative_interaction,hyp_discovered_before,scenario_number,datetime
94,12.0,0.0,-9.0,-4.0,1,2024-01-26_21-05-33
95,13.0,-3.571,-8.0,-4.0,1,2024-01-26_21-05-33
96,14.0,-0.4,-7.0,-4.0,1,2024-01-26_21-05-33
97,15.0,0.0,-6.0,-4.0,1,2024-01-26_21-05-33
98,16.0,-3.125,-5.0,-4.0,1,2024-01-26_21-05-33
99,17.0,-0.893,-4.0,-4.0,1,2024-01-26_21-05-33
100,18.0,3.571,-3.0,-4.0,1,2024-01-26_21-05-33
101,19.0,3.333,-2.0,-4.0,1,2024-01-26_21-05-33
102,20.0,4.0,-1.0,-4.0,1,2024-01-26_21-05-33
103,21.0,0.0,0.0,-4.0,1,2024-01-26_21-05-33
104,22.0,3.906,1.0,-4.0,1,2024-01-26_21-05-33
105,23.0,3.117,2.0,-4.0,1,2024-01-26_21-05-33
106,24.0,3.81,3.0,-4.0,1,2024-01-26_21-05-33
107,25.0,3.571,4.0,-4.0,1,2024-01-26_21-05-33
108,26.0,3.125,5.0,-4.0,1,2024-01-26_21-05-33
109,27.0,-4.444,,-4.0,1,2024-01-26_21-05-33
110,28.0,0.833,,-4.0,1,2024-01-26_21-05-33
111,29.0,3.906,,-4.0,1,2024-01-26_21-05-33
112,1.0,-3.117,-7.0,-4.0,7,2024-01-26_22-58-17
113,2.0,3.81,-6.0,-4.0,7,2024-01-26_22-58-17
114,3.0,0.0,-5.0,-4.0,7,2024-01-26_22-58-17
115,4.0,2.5,-4.0,-4.0,7,2024-01-26_22-58-17
116,5.0,3.636,-3.0,-4.0,7,2024-01-26_22-58-17
117,6.0,4.0,-2.0,-4.0,7,2024-01-26_22-58-17
118,7.0,4.167,-1.0,-4.0,7,2024-01-26_22-58-17
119,8.0,1.591,0.0,-4.0,7,2024-01-26_22-58-17
120,9.0,3.636,1.0,-4.0,7,2024-01-26_22-58-17
121,10.0,3.977,2.0,-4.0,7,2024-01-26_22-58-17
122,11.0,2.667,3.0,-4.0,7,2024-01-26_22-58-17
123,12.0,3.977,4.0,-4.0,7,2024-01-26_22-58-17
124,13.0,3.333,,-4.0,7,2024-01-26_22-58-17
125,14.0,3.977,,-4.0,7,2024-01-26_22-58-17
126,15.0,3.81,,-4.0,7,2024-01-26_22-58-17
127,16.0,3.636,,-4.0,7,2024-01-26_22-58-17
128,17.0,4.167,,-4.0,7,2024-01-26_22-58-17
129,18.0,3.333,,-4.0,7,2024-01-26_22-58-17
130,19.0,1.429,,-4.0,7,2024-01-26_22-58-17
131,20.0,-0.364,,-4.0,7,2024-01-26_22-58-17
132,1.0,1.562,,,5,2024-01-26_23-00-47
133,2.0,0.0,,,5,2024-01-26_23-00-47
134,3.0,0.875,,,5,2024-01-26_23-00-47
135,4.0,1.455,,,5,2024-01-26_23-00-47
136,5.0,0.992,,,5,2024-01-26_23-00-47
137,6.0,0.0,,,5,2024-01-26_23-00-47
138,7.0,1.429,,,5,2024-01-26_23-00-47
139,8.0,1.429,,,5,2024-01-26_23-00-47
140,9.0,1.667,,,5,2024-01-26_23-00-47
141,10.0,1.143,,,5,2024-01-26_23-00-47
142,11.0,0.182,,,5,2024-01-26_23-00-47
143,12.0,-0.769,,,5,2024-01-26_23-00-47
144,13.0,-1.714,,,5,2024-01-26_23-00-47
145,14.0,2.286,,,5,2024-01-26_23-00-47
146,1.0,1.333,-5.0,3.0,0,2024-01-27_00-02-07
147,2.0,0.0,-4.0,3.0,0,2024-01-27_00-02-07
148,3.0,3.125,-3.0,3.0,0,2024-01-27_00-02-07
149,4.0,3.906,-2.0,3.0,0,2024-01-27_00-02-07
150,5.0,2.625,-1.0,3.0,0,2024-01-27_00-02-07
151,6.0,3.571,0.0,3.0,0,2024-01-27_00-02-07
152,7.0,3.5,1.0,3.0,0,2024-01-27_00-02-07
153,8.0,4.0,,3.0,0,2024-01-27_00-02-07
154,9.0,0.0,,3.0,0,2024-01-27_00-02-07
155,10.0,4.375,,3.0,0,2024-01-27_00-02-07
156,11.0,3.571,,3.0,0,2024-01-27_00-02-07
157,12.0,3.906,,3.0,0,2024-01-27_00-02-07
158,13.0,1.562,7.0,3.0,0,2024-01-27_00-02-07
159,14.0,3.571,,3.0,0,2024-01-27_00-02-07
160,15.0,3.571,,3.0,0,2024-01-27_00-02-07
161,16.0,3.906,,3.0,0,2024-01-27_00-02-07
162,17.0,4.167,,3.0,0,2024-01-27_00-02-07
163,18.0,3.0,12.0,3.0,0,2024-01-27_00-02-07
164,19.0,3.571,13.0,3.0,0,2024-01-27_00-02-07
165,20.0,3.333,14.0,3.0,0,2024-01-27_00-02-07
166,21.0,1.389,15.0,3.0,0,2024-01-27_00-02-07
167,22.0,1.429,16.0,3.0,0,2024-01-27_00-02-07
168,23.0,3.571,17.0,3.0,0,2024-01-27_00-02-07
169,24.0,3.81,18.0,3.0,0,2024-01-27_00-02-07
170,25.0,3.81,19.0,3.0,0,2024-01-27_00-02-07
171,26.0,3.571,20.0,3.0,0,2024-01-27_00-02-07
172,27.0,3.571,21.0,3.0,0,2024-01-27_00-02-07
173,28.0,4.0,22.0,3.0,0,2024-01-27_00-02-07
174,29.0,4.0,23.0,3.0,0,2024-01-27_00-02-07
175,30.0,3.571,24.0,3.0,0,2024-01-27_00-02-07
176,31.0,4.167,25.0,3.0,0,2024-01-27_00-02-07
177,32.0,3.81,26.0,3.0,0,2024-01-27_00-02-07
178,33.0,3.571,27.0,3.0,0,2024-01-27_00-02-07
179,34.0,3.906,28.0,3.0,0,2024-01-27_00-02-07
180,35.0,-2.5,29.0,3.0,0,2024-01-27_00-02-07
181,36.0,3.906,30.0,3.0,0,2024-01-27_00-02-07
182,37.0,4.167,31.0,3.0,0,2024-01-27_00-02-07
183,38.0,3.571,32.0,3.0,0,2024-01-27_00-02-07
184,39.0,3.571,33.0,3.0,0,2024-01-27_00-02-07
185,40.0,4.0,34.0,3.0,0,2024-01-27_00-02-07
186,41.0,3.571,,3.0,0,2024-01-27_00-02-07
187,42.0,4.167,,3.0,0,2024-01-27_00-02-07
188,43.0,4.444,,3.0,0,2024-01-27_00-02-07
189,1.0,-3.571,-7.0,-4.0,7,2024-01-27_00-40-23
190,2.0,0.833,-6.0,-4.0,7,2024-01-27_00-40-23
191,3.0,-3.81,-5.0,-4.0,7,2024-01-27_00-40-23
192,4.0,3.81,-4.0,-4.0,7,2024-01-27_00-40-23
193,5.0,3.81,-3.0,-4.0,7,2024-01-27_00-40-23
194,6.0,3.571,-2.0,-4.0,7,2024-01-27_00-40-23
195,7.0,3.571,-1.0,-4.0,7,2024-01-27_00-40-23
196,8.0,3.81,0.0,-4.0,7,2024-01-27_00-40-23
197,9.0,4.167,,-4.0,7,2024-01-27_00-40-23
198,10.0,0.0,,-4.0,7,2024-01-27_00-40-23
199,11.0,3.906,,-4.0,7,2024-01-27_00-40-23
200,12.0,3.81,,-4.0,7,2024-01-27_00-40-23
201,13.0,4.0,5.0,-4.0,7,2024-01-27_00-40-23
202,14.0,4.444,6.0,-4.0,7,2024-01-27_00-40-23
203,15.0,3.81,7.0,-4.0,7,2024-01-27_00-40-23
204,16.0,3.571,,-4.0,7,2024-01-27_00-40-23
205,17.0,4.444,,-4.0,7,2024-01-27_00-40-23
206,18.0,3.81,,-4.0,7,2024-01-27_00-40-23
207,19.0,4.167,,-4.0,7,2024-01-27_00-40-23
208,20.0,4.167,12.0,-4.0,7,2024-01-27_00-40-23
209,21.0,3.81,13.0,-4.0,7,2024-01-27_00-40-23
210,22.0,3.125,14.0,-4.0,7,2024-01-27_00-40-23
211,23.0,4.0,15.0,-4.0,7,2024-01-27_00-40-23
212,24.0,4.167,16.0,-4.0,7,2024-01-27_00-40-23
213,25.0,4.167,17.0,-4.0,7,2024-01-27_00-40-23
214,26.0,4.167,18.0,-4.0,7,2024-01-27_00-40-23
215,27.0,2.667,19.0,-4.0,7,2024-01-27_00-40-23
216,28.0,3.571,20.0,-4.0,7,2024-01-27_00-40-23
217,29.0,1.562,21.0,-4.0,7,2024-01-27_00-40-23
218,30.0,4.0,22.0,-4.0,7,2024-01-27_00-40-23
219,31.0,3.81,23.0,-4.0,7,2024-01-27_00-40-23
220,32.0,3.571,,-4.0,7,2024-01-27_00-40-23
221,33.0,3.81,,-4.0,7,2024-01-27_00-40-23
222,34.0,3.571,,-4.0,7,2024-01-27_00-40-23
223,35.0,2.667,27.0,-4.0,7,2024-01-27_00-40-23
224,1.0,1.905,-5.0,-5.0,7,2024-01-26_23-35-15
225,2.0,-1.111,-4.0,-5.0,7,2024-01-26_23-35-15
226,3.0,2.5,-3.0,-5.0,7,2024-01-26_23-35-15
227,4.0,3.571,-2.0,-5.0,7,2024-01-26_23-35-15
228,5.0,4.444,-1.0,-5.0,7,2024-01-26_23-35-15
229,6.0,3.906,0.0,-5.0,7,2024-01-26_23-35-15
230,7.0,4.375,1.0,-5.0,7,2024-01-26_23-35-15
231,8.0,3.906,2.0,-5.0,7,2024-01-26_23-35-15
232,9.0,4.156,,-5.0,7,2024-01-26_23-35-15
233,10.0,4.0,,-5.0,7,2024-01-26_23-35-15
