Unnamed: 0,agent_type,scenario,reward,steps,duration,cost,datetime
72,planreact_old,2,360.0,1000,34.52204829454422,5.716400000000003,2024-05-20_23-02-34
73,planreact_old,0,440.0,1000,67.50237657229106,10.937539999999991,2024-05-21_15-18-42
74,hm,0,580.0,1000,73.71201205253601,10.56454999999999,2024-05-21_17-22-59
75,hm,2,420.0,1000,37.07502603530884,5.220119999999999,2024-05-21_18-42-06
76,hm,1,300.0,1000,40.879836336771646,5.680690000000002,2024-05-21_18-41-34
77,hm,2,320.0,1000,22.34206502437592,3.267580000000002,2024-05-21_19-19-13
78,hm,0,420.0,1000,106.22908781766893,15.36705,2024-05-21_18-45-20
79,planreact,0,440.0,1000,10.43945163488388,1.7865800000000005,2024-05-21_20-42-56
80,planreact,1,440.0,1000,12.495788733164469,2.0153600000000007,2024-05-21_20-42-39
81,planreact,2,320.0,1000,12.880179584026337,2.0326500000000003,2024-05-21_20-42-31
82,planreact,0,340.0,1000,14.32756262222926,2.25991,2024-05-21_20-53-26
83,planreact,1,240.0,1000,12.63676097393036,1.8935900000000008,2024-05-21_20-55-13
84,planreact,2,220.0,1000,12.652525655428567,1.7103700000000004,2024-05-21_20-55-26
85,planreact,2,260.0,1000,9.04721165895462,1.2650499999999998,2024-05-21_21-08-08
86,planreact,1,480.0,1000,14.81196517944336,2.37435,2024-05-21_21-07-55
87,hm,1,220.0,1000,121.20717687606812,16.453999999999997,2024-05-21_19-22-31
88,planreact,0,440.0,1000,16.653911340236665,2.78132,2024-05-21_21-07-50
89,planreact,2,280.0,1000,9.554846517244975,1.4360200000000003,2024-05-21_21-17-13
90,hm,0,560.0,1000,55.50433951616287,9.280139999999983,2024-05-21_20-31-37
91,planreact,2,140.0,1000,8.646226692199708,1.28012,2024-05-21_21-26-49
92,planreact,0,120.0,1000,17.669646950562797,2.65616,2024-05-21_21-24-33
93,planreact,1,300.0,1000,23.10757091442744,3.7087399999999993,2024-05-21_21-22-48
94,planreact,0,340.0,1000,12.563734531402588,1.9592,2024-05-21_21-42-17
95,planreact,1,440.0,1000,16.52948795159658,2.43096,2024-05-21_21-45-59
96,planreact,0,440.0,1000,13.854138724009196,2.0218200000000004,2024-05-21_21-56-59
97,hm,1,520.0,1000,57.81942459742229,9.006610000000004,2024-05-21_21-23-48
98,hm,2,300.0,1000,18.826989372571308,2.859230000000001,2024-05-21_22-06-04
99,hm,2,280.0,1000,169.4223866780599,20.437099999999987,2024-05-21_19-41-36
100,hm,2,460.0,1000,29.070804250240325,4.584569999999995,2024-05-21_22-05-53
101,hm,1,540.0,1000,48.25521398385366,7.863040000000002,2024-05-21_22-04-57
102,hm,1,300.0,1000,53.98116004069646,7.55759,2024-05-21_22-04-40
103,hm,0,500.0,1000,91.8531167626381,14.242730000000002,2024-05-21_21-27-12
104,hm,0,560.0,1000,59.01697665452957,9.43058,2024-05-21_22-06-22
105,hm,1,500.0,1000,70.15103909174601,10.040189999999992,2024-05-21_22-21-41
74,hm_gpt35,0,20.0,1000,4.159339948495229,0.4100020000000001,2024-05-21_18-11-59
75,hm_gpt35,2,0.0,1000,13.05903771718343,1.290698,2024-05-21_18-43-34
76,hm_gpt35,0,0.0,1000,6.951233800252279,0.563725,2024-05-21_18-55-39
77,hm_gpt35,0,0.0,1000,7.908979300657908,0.7251360000000004,2024-05-21_19-08-23
78,hm_gpt35,0,0.0,1000,3.6042635003725687,0.3088559999999999,2024-05-21_19-31-07
79,hm_gpt35,0,0.0,1000,12.587023480733237,1.3745279999999995,2024-05-21_19-26-29
80,hm_gpt35,2,0.0,1000,31.03817873795828,3.258074999999999,2024-05-21_19-08-29
81,hm_gpt35,2,20.0,1000,15.061817967891692,1.3161979999999995,2024-05-21_19-42-00
82,hm_gpt35,2,20.0,1000,14.101434187094371,1.5199689999999983,2024-05-21_19-57-05
83,hm_gpt35,2,0.0,1000,6.689033464590708,0.635957,2024-05-21_20-11-12
84,hm_gpt35,0,280.0,1000,11.77174396912257,2.0652750000000006,2024-05-21_20-32-35
85,hm_gpt35,2,20.0,1000,28.116775266329448,3.5061550000000024,2024-05-21_20-17-54
86,hm_gpt35,2,20.0,1000,5.767060712973277,0.6214430000000002,2024-05-21_20-46-02
87,hm_gpt35,0,100.0,1000,10.071195363998411,1.1442919999999983,2024-05-21_20-44-23
88,hm_gpt35,1,160.0,1000,27.216521068414053,3.513852000000005,2024-05-21_20-32-21
89,hm_gpt35,2,0.0,1000,6.960527197519938,0.7880470000000002,2024-05-21_20-53-40
90,hm_gpt35,0,20.0,1000,11.04626423517863,1.1144500000000002,2024-05-21_20-54-29
91,hm_gpt35,0,20.0,1000,35.227586245536806,3.845003000000001,2024-05-21_20-32-43
92,hm_gpt35,2,0.0,1000,8.008549269040426,0.887474,2024-05-21_21-00-38
93,hm_gpt35,1,100.0,1000,7.228608798980713,0.9537560000000008,2024-05-21_21-01-36
94,hm_gpt35,2,0.0,1000,3.888077000776928,0.4137269999999999,2024-05-21_21-08-40
95,hm_gpt35,1,20.0,1000,5.157165586948395,0.5345169999999999,2024-05-21_21-08-51
96,hm_gpt35,2,0.0,1000,3.3303812821706136,0.3264639999999999,2024-05-21_21-12-34
97,hm_gpt35,0,40.0,1000,10.696317533651987,1.106284,2024-05-21_21-05-33
98,hm_gpt35,1,180.0,1000,12.621876748402912,1.787844999999998,2024-05-21_21-14-02
99,hm_gpt35,1,120.0,1000,18.104220215479533,2.0653990000000007,2024-05-21_21-21-44
100,hm_gpt35,0,0.0,1000,57.66622309684753,4.005274000000002,2024-05-21_21-07-58
101,hm_gpt35,1,100.0,1000,34.035792497793835,1.4597440000000002,2024-05-21_21-39-52
