agent_type,scenario,reward_per_1199_mean,reward_per_1199_sem
"Hypothetical
 Minds",0,40.60751446719277,12.91134303017808
"Hypothetical
 Minds",1,78.71970787488246,2.3687057883599176
"Hypothetical
 Minds",2,21.93590390471106,0.4985932610724685
"Hypothetical
 Minds",3,31.633396493148506,4.727620882413244
"Hypothetical
 Minds",4,27.8235738931362,1.2288565343064992
"Hypothetical
 Minds",5,52.51794272304479,1.097638066392753
"Hypothetical
 Minds",6,46.66571215672891,2.1972813477831132
"Hypothetical
 Minds",7,20.906011177353687,0.5119925447321646
"Hypothetical
 Minds",8,42.08918048384978,1.4753531348304023
"Hypothetical
 Minds",9,45.29032363169911,1.7974268296747746
PPO,0,20.715609459048444,5.673553483042466
PPO,1,40.02575593292637,5.42688487281372
PPO,2,9.129235724540614,2.041287338656726
PPO,3,12.965806879848547,1.102038321325234
PPO,4,16.464615469669727,1.4267681603651554
PPO,5,15.436552493802491,2.0886766898503746
PPO,6,17.287846207026547,2.73514722471965
PPO,7,8.79368601600832,0.8667666525342669
PPO,8,8.09795263995264,1.96416459834361
PPO,9,15.12580947442432,2.470336150356814
PlanReAct,0,37.018429777637046,15.332893999799637
PlanReAct,1,78.79434353463931,2.22702863394224
PlanReAct,2,22.547486411531754,0.521101668544066
PlanReAct,3,25.191881146471438,0.35656659958079595
PlanReAct,4,27.978044293028013,1.1936219881372274
PlanReAct,5,42.24077795947307,2.0568889255493494
PlanReAct,6,42.04816177616955,1.280230471841663
PlanReAct,7,24.87794691040752,0.557214298280964
PlanReAct,8,36.78204448127027,0.8811443516195595
PlanReAct,9,40.647342260202265,1.1087520693600472
ReAct,0,57.90302589105427,13.038360976245274
ReAct,1,77.26307780658392,0.9625676458889469
ReAct,2,23.97636804381734,0.25104964940099866
ReAct,3,29.22442418849756,1.3092033436782908
ReAct,4,30.720092945149958,1.7159171044524084
ReAct,5,35.785776983828235,0.6579201635127938
ReAct,6,41.85064421327556,2.689832305207182
ReAct,7,28.39789325933672,0.709207956260599
ReAct,8,30.10968316045782,1.4052737557568755
ReAct,9,36.60073449659025,1.6456070305431088
Reflexion,0,44.46961416695524,13.193809035773569
Reflexion,1,87.1679621403147,1.7366350617854251
Reflexion,2,22.113547138426142,0.7700133528641261
Reflexion,3,28.839326801203903,0.39745452516385976
Reflexion,4,29.33223415241855,1.742708445315327
Reflexion,5,33.93949377505338,0.6695681125925029
Reflexion,6,40.31620430388502,2.4170923067956136
Reflexion,7,25.13795468361,0.961404539658116
Reflexion,8,31.048598907641104,1.4351253599036544
Reflexion,9,34.65433484392169,1.730586651259744
